PQ,Wat1,Wat2,Wat3,year,month,index
73375.3755949,279.967959397,20.4760392849,40.0426750683,2017,11,67
74077.5495806,279.966885796,20.0412198806,20.7256647404,2017,11,68
76096.2814279,279.960931405,19.1290147139,40.4130594036,2017,11,69
74370.5313745,280.060303459,19.6049562136,26.7481436095,2017,11,70
71835.2911594,280.179291532,20.2827219064,30.4278224814,2017,11,71
75143.0356355,280.311249518,25.8666454044,25.0809320649,2017,11,72
74461.1474829,280.466707273,21.3579474467,41.9256945989,2017,11,73
82450.3965145,280.5158438,20.3636617404,18.8447869355,2017,11,74
80400.1340616,280.478433724,20.3795820833,39.4086371232,2017,11,75
73742.0313192,280.519840728,20.6250251251,26.1167770414,2017,11,76
72930.253425,280.433391521,20.0289609329,30.5877835126,2017,11,77
76981.1196283,280.400766459,19.2973454292,33.5058578371,2017,11,78
69860.2689344,280.256685666,22.0159509878,35.2894811188,2017,11,79
74398.8217374,280.385265365,27.0485631804,24.7660163449,2017,11,80
72042.2193192,280.459352142,20.4057649033,34.1562237954,2017,11,81
68457.7603185,280.32422311,19.245187662,32.6354858822,2017,11,82
71516.2360065,279.998048589,20.3358159053,22.842950455,2017,11,83
75526.7236691,279.585925446,20.573968802,34.4967843439,2017,11,84
79875.2148052,280.256780094,20.3134105279,34.7441849436,2017,11,85
79507.8809033,280.200587194,20.4515957097,29.3411026892,2017,11,86
75504.2365589,280.043792022,25.3850291991,26.4065024638,2017,11,87
78054.1814247,280.177220337,22.0160913188,39.6649418589,2017,11,88
79743.0582331,225.80030101,19.536025905,31.6602490109,2017,11,89
83179.5429243,248.78746836,19.4928176463,29.6772789674,2017,11,90
78135.7273372,331.102083972,20.7560650864,33.7561631113,2017,11,91
75605.8498391,150.052359719,20.9016009893,23.5943996364,2017,11,92
79270.1118533,113.236178626,20.4519869144,32.7649606672,2017,11,93
79790.8042942,113.161752043,23.5635746384,34.8317880617,2017,11,94
79867.0281768,196.403273152,25.1432845643,24.2021711223,2017,11,95
76847.7906548,358.288703002,20.3351877934,42.2877323346,2017,11,96
77683.0840706,366.651749328,19.6757349487,24.6262472964,2017,11,97
77670.7765058,150.206211989,19.1502458205,30.4757012751,2017,11,98
77833.3686127,113.025273608,19.488715074,30.304116334,2017,11,99
71020.7636073,299.025086591,24.8999016766,24.4583584899,2017,11,100
71768.2107883,354.609246383,21.9172857662,42.6986298643,2017,11,101
77188.6157011,355.022984367,21.3986967965,24.7424463753,2017,11,102
77730.6159981,253.758373383,20.4876057606,30.2374419384,2017,11,103
76931.5240419,115.819965846,20.0744830972,41.9599935203,2017,11,104
80650.071184,113.175019664,22.9033278026,32.3478570991,2017,11,105
78956.9506283,234.137061157,20.6451514099,17.289134028,2017,11,106
79155.7919099,325.576296047,19.3410808633,34.7471694442,2017,11,107
76490.1844183,113.196640581,19.8552454709,31.5578129257,2017,11,108
82096.9736793,113.055622067,20.5219545386,25.697288269,2017,11,109
81800.1812918,131.864943343,23.9355183519,29.7153588469,2017,11,110
76043.7240285,359.811757755,24.3152889451,30.3688934862,2017,11,111
70267.6700775,334.669746205,19.46737347,35.4642985075,2017,11,112
72514.3513618,262.913902093,19.0950427482,25.0579081915,2017,11,113
76983.4137581,230.692348232,19.4645859738,37.4907459291,2017,11,114
77358.3936784,126.194373277,19.5922759999,25.8645031272,2017,11,115
76983.8977704,246.385638136,25.6853259004,22.5451202113,2017,11,116
80183.6145729,113.22939231,21.0242118622,33.0746286395,2017,11,117
77718.9512148,157.63096731,20.5087964088,41.5003693032,2017,11,118
78364.7844063,316.720263949,20.1822946503,24.3148732815,2017,11,119
81294.4125403,133.841785839,21.8904668876,31.262559452,2017,11,120
82916.1591228,323.54934088,27.9127548927,30.955647357,2017,11,121
75210.3752194,367.626708055,24.8464633573,28.5223270467,2017,11,122
75661.3465467,356.503433997,23.2845243468,35.2214305506,2017,11,123
83380.9300143,365.540017415,24.3149972734,23.2497490023,2017,11,124
79686.2532295,173.12959993,24.6940031365,28.6845187833,2017,11,125
76513.8973705,297.614225591,24.7896600693,38.241921888,2017,11,126
73580.6134954,178.240916741,29.5857135895,29.0472480369,2017,11,127
75472.4484047,157.274542693,24.82148086,33.1389085314,2017,11,128
76816.6873164,321.820555088,24.3885875984,27.0585978152,2017,11,129
82825.4008417,322.943975886,24.8905996022,30.5830480686,2017,11,130
89502.5214154,299.05509379,24.2760974577,30.4540705106,2017,11,131
85513.5323752,113.516475008,24.8957612526,30.3484981261,2017,11,132
81539.9159085,213.804546713,30.1876303672,28.3115927098,2017,11,133
84817.6959318,172.692372691,25.9595236641,27.3865369353,2017,11,134
84394.4898549,113.319991317,24.8869971531,37.4328870942,2017,11,135
88957.4670263,244.700211932,24.1078095553,31.4426596292,2017,11,136
80242.1702379,253.412660929,24.1752221232,26.392507592,2017,11,137
79800.4577379,310.651293049,24.6631193808,27.026021557,2017,11,138
