date,15m_indx,Wat1,Wat2,Wat3,PQ
11/3/2017,35,198.4,23.9,33.8,81.6
11/3/2017,36,173.8,24.7,28.2,83.4
11/3/2017,37,113.7,24.8,31.7,76
11/3/2017,38,304.3,25.7,33.6,78
11/3/2017,39,319.6,23.7,25.8,77.1
11/3/2017,40,200.6,28.7,27.7,84.2
11/3/2017,41,113.9,24.8,28,82.6
11/3/2017,42,243.6,24.1,31.6,83.1
11/3/2017,43,253.8,24.8,31.9,83.6
11/3/2017,44,279.5,24.8,28.6,82.5
11/3/2017,45,279.2,24.4,25.7,78.8
11/3/2017,46,279.6,26.2,33.1,75.9
11/3/2017,47,279.8,28.7,28.9,72.8
11/3/2017,48,279.9,24.5,29,78.7
11/3/2017,49,279.8,24.2,27,73.2
11/3/2017,50,279.4,24.7,27,80.8
11/3/2017,51,279.3,25.3,32.7,81.6
11/3/2017,52,279.3,24.5,25,81.9
11/3/2017,53,279.2,23.9,32.9,79.8
11/3/2017,54,279.3,28.3,29,77.3
11/3/2017,55,279.4,24.3,31,78.7
11/3/2017,56,279.4,24.8,26.6,77.3
11/3/2017,57,279.4,26,28.3,73.3
11/3/2017,58,279.5,25.3,33.1,74.6
11/3/2017,59,279.4,24.5,34.6,78.7
11/3/2017,60,279.3,23.7,24.9,82.2
11/3/2017,61,279.2,26.7,28.9,80.2
11/3/2017,62,279.2,25.6,29,82.4
11/3/2017,63,279.1,23.7,29,81
11/3/2017,64,279.1,24.6,33,78.7
11/3/2017,65,279.1,24,29,80.7
11/3/2017,66,279,20.7,30.9,78.7
11/3/2017,67,279,19.2,27.1,72.3
11/3/2017,68,278.9,21.2,26.9,75.4
11/3/2017,69,278.5,22.5,33,70.8
11/3/2017,70,278.6,19.6,31,75.3
11/3/2017,71,278.8,20,30.9,79.4
11/3/2017,72,278.5,21.8,30.9,78.8
11/3/2017,73,278.4,20.1,29,75.8
11/3/2017,74,278.2,20.2,30.6,78.3
11/3/2017,75,278.4,24.4,27,74.8
11/3/2017,76,278.2,19.5,30.7,73.1
11/3/2017,77,278.9,19,27,73.6
11/3/2017,78,278.8,20.4,31.3,69.9
11/3/2017,79,278.8,20.3,31.7,77.3
11/3/2017,80,279.2,20.6,30,74.1
11/3/2017,81,279.3,24.3,30,78.6
11/3/2017,82,279.1,20.9,27.9,78.6
11/3/2017,83,279,19,33.6,76.3
11/3/2017,84,278.6,20.2,27.7,74
11/3/2017,85,278.5,19.8,33.7,78.3
11/3/2017,86,278.6,19.8,31.7,77.2
11/3/2017,87,279,23.5,25.5,70.9
11/3/2017,88,279.4,22.7,32.7,71.8
11/3/2017,89,279.3,19.7,26.7,75.8
11/3/2017,90,279.3,19.2,29.1,77
11/3/2017,91,279.4,18.9,29,77.4
11/3/2017,92,279.1,19.5,31,79.7
11/3/2017,93,279.2,21.3,32.9,78.7
11/3/2017,94,279.1,24,25.2,75.7
11/3/2017,95,279.5,20,29.9,75.9
11/3/2017,96,279.6,20.9,36.2,79.3
11/4/2017,0,279.6,21.6,29,75.8
11/4/2017,1,279.7,19.8,28.7,73
11/4/2017,2,279.8,19.1,29,72
11/4/2017,3,279.7,21.7,29,75.6
11/4/2017,4,279.4,21.9,31.8,75.7
11/4/2017,5,279.4,19.4,26.7,76.8
11/4/2017,6,279.4,20.4,26.9,80.9
11/4/2017,7,279.6,20.6,32.6,76.2
11/4/2017,8,279.5,19.7,31.9,75.7
11/4/2017,9,279.4,21,25.7,78.8
11/4/2017,10,279.2,23.1,28.7,78.6
11/4/2017,11,279,19.1,29.6,69.7
11/4/2017,12,279.3,19.1,32.7,73.9
11/4/2017,13,279.4,21.7,29,73.8
11/4/2017,14,279.4,20.7,26,77
11/4/2017,15,279.2,21,29.5,75.1
11/4/2017,16,279,24,31,78.6
11/4/2017,17,279.1,19.1,32.5,78.7
11/4/2017,18,279,19.2,31,77.4
11/4/2017,19,279.5,19.1,32.1,75.1
11/4/2017,20,279.3,20.5,24.8,75.1
11/4/2017,21,279.3,20.3,26.7,73.4
11/4/2017,22,279.3,25.3,35.3,73.4
11/4/2017,23,279.4,19.4,28.7,69.6
11/4/2017,24,279.3,19.3,28,76.3
11/4/2017,25,279.3,20.2,31.6,81.4
11/4/2017,26,279.2,20.5,26.9,78.9
11/4/2017,27,279.1,19.6,32.5,74.1
11/4/2017,28,279.2,25.8,28,74
11/4/2017,29,279.1,20.3,31.9,78.3
11/4/2017,30,278.9,20.4,29.7,80.8
11/4/2017,31,278.7,19.6,24.7,76.8
11/4/2017,32,278.4,19.3,33.9,67.3
11/4/2017,33,278.4,19.2,34,70.3
11/4/2017,34,278.7,24.8,25.9,77.4
11/4/2017,35,279,19.5,33.1,77.2
11/4/2017,36,279.1,21.1,27,76.6
11/4/2017,37,279.1,21.6,31,77.4
11/4/2017,38,279.2,19.9,27,80.5
11/4/2017,39,279.1,19.1,32.9,75.6
11/4/2017,40,279.2,24.9,29,77.4
11/4/2017,41,279.2,19.2,27.7,70.8
11/4/2017,42,279.3,19.6,30.6,74
11/4/2017,43,272.4,20.6,28.8,68.4
11/4/2017,44,138.4,20.2,28.8,77.7
11/4/2017,45,113.7,20.6,28.8,81.2
11/4/2017,46,153.2,24.4,32.4,79.6
11/4/2017,47,353.9,21,32.8,76.2
11/4/2017,48,320.5,18.9,30.1,74.4
11/4/2017,49,167.6,19.8,31.6,78.4
11/4/2017,50,209.8,21.3,28.3,78.4
11/4/2017,51,226.1,21.4,27.3,68.6
11/4/2017,52,260.4,23.7,28.5,68.9
11/4/2017,53,290.1,22.2,32.5,72.4
11/4/2017,54,209.8,19.3,28.1,81.9
11/4/2017,55,354.2,19.5,27.2,80
11/4/2017,56,273.5,19.5,29.4,76.9
11/4/2017,57,222.6,20,31.2,77.7
11/4/2017,58,213.7,23.7,27.1,75.9
11/4/2017,59,274,22.9,28.3,78.9
11/4/2017,60,134.2,19.9,30,72
11/4/2017,61,113.6,19.9,30.8,70.5
11/4/2017,62,252.2,21,28.3,70.3
11/4/2017,63,282.3,19.6,33.3,77.6
11/4/2017,64,227.5,26.3,30.5,80.3
11/4/2017,65,227,20.5,30.4,76.9
11/4/2017,66,227.6,20.8,29.8,79.7
11/4/2017,67,324,20,33,80.5
11/4/2017,68,278.6,19.7,36.9,77.3
11/4/2017,69,271.2,23.9,28.1,77.7
11/4/2017,70,228.3,22,29.1,80.6
11/4/2017,71,290.6,22,33,72.5
11/4/2017,72,113.6,21,31.1,72.5
11/4/2017,73,113.4,19.9,30,70.9
11/4/2017,74,282.2,22.2,30.1,81.2
11/4/2017,75,221,22.8,32,80.4
11/4/2017,76,143.5,19.7,36.1,82
11/4/2017,77,354.5,20,26,81.7
11/4/2017,78,273.8,20.6,30.1,74.9
11/4/2017,79,249.2,20.4,31.1,80.2
11/4/2017,80,113.4,26.5,34.1,83.4
11/4/2017,81,227.6,20.6,34.3,79.6
11/4/2017,82,113.4,19.4,27,73.7
11/4/2017,83,210.8,20,32,75.7
11/4/2017,84,187.9,20.5,38.1,73.3
11/4/2017,85,354.4,23.2,29.2,78.8
11/4/2017,86,242.2,22.6,27,80.3
11/4/2017,87,322.1,19.3,31.1,84.1
11/4/2017,88,354.2,19.3,29,81.4
11/4/2017,89,321.9,19.6,31.1,78.7
11/4/2017,90,234.7,21.5,32.1,82.2
11/4/2017,91,210.6,26.7,29.2,82.4
11/4/2017,92,113.7,20.1,33,78.9
11/4/2017,93,113.2,19.9,27,72.5
11/4/2017,94,208.4,19.3,34.8,76.7
11/4/2017,95,295.4,19.4,26.6,74.9
11/4/2017,96,366.9,19.1,13,70.6
11/5/2017,0,342.8,25.1,35.6,78.9
11/5/2017,1,318.8,22.9,32.8,79.8
11/5/2017,2,169.3,20.4,27.3,81.2
11/5/2017,3,189,20.7,29,84.9
11/5/2017,4,113.5,21.1,25.1,79
11/5/2017,5,113.4,19.1,37.5,79.4
11/5/2017,6,257.3,24.8,33.3,79.4
11/5/2017,7,274,19.4,28.7,80.1
11/5/2017,8,165.1,20.2,32.6,78.4
11/5/2017,9,151.5,20.5,31,73.8
11/5/2017,10,188.5,20.7,29.1,70.2
11/5/2017,11,113.3,21.9,27,75.6
11/5/2017,12,128.4,22.8,37.3,87.2
11/5/2017,13,212.3,19.5,28.7,79.7
11/5/2017,14,280.5,20.8,33,79.9
11/5/2017,15,358.9,20.3,31,78.6
11/5/2017,16,318.6,21.2,27,77.9
11/5/2017,17,344.3,25.1,31,81.6
11/5/2017,18,190.7,20.6,30.9,77
11/5/2017,19,113.5,19.4,29,74.6
11/5/2017,20,125.6,19.2,31,72.7
11/5/2017,21,354.9,19.2,32.6,72.8
11/5/2017,22,128.2,20.9,28.5,85.4
11/5/2017,23,306.4,25.2,33,80.2
11/5/2017,24,187,21,26.8,76.5
11/5/2017,25,284.2,20.9,29,78.5
11/5/2017,26,366.1,19.5,30.4,77
11/5/2017,27,357.1,18.8,26.6,79.6
11/5/2017,28,336.5,22.2,37.2,78.9
11/5/2017,29,353.8,22,28.2,76.1
11/5/2017,30,210.1,20.5,33.1,75.4
11/5/2017,31,290.3,19.8,30.6,74.5
11/5/2017,32,173.3,21.2,32.1,71.7
11/5/2017,33,210.5,19.2,28.8,75.7
11/5/2017,34,279.6,24.5,28.8,80.5
11/5/2017,35,205.3,21.1,31,74.3
11/5/2017,36,304.8,19.8,30.5,79.5
11/5/2017,37,288.1,19.4,28.7,81.1
11/5/2017,38,113.7,20.4,35.1,78.6
11/5/2017,39,113.4,20.4,24.6,76.8
11/5/2017,40,191.1,25.3,29.3,79.5
11/5/2017,41,150.5,19.3,30.9,78
11/5/2017,42,333.6,19.2,34.3,74
11/5/2017,43,267.2,19.4,30.8,68.3
11/5/2017,44,180.9,19.5,26.8,75.6
11/5/2017,45,274.6,22.4,26.8,80.4
11/5/2017,46,177.8,24.4,32.9,79
11/5/2017,47,213,21.7,33.9,76
11/5/2017,48,113.3,19.7,26.3,80
11/5/2017,49,314.7,19.6,29.1,77.6
11/5/2017,50,225.6,19.2,32.2,74.5
11/5/2017,51,354.5,22.3,28.9,83.2
11/5/2017,52,321.3,22.8,34.3,74.1
11/5/2017,53,243.4,20.7,28.6,71.7
11/5/2017,54,316.2,20.4,26.8,71.2
11/5/2017,55,257.8,20.3,34.1,74.6
11/5/2017,56,354.5,18.9,26.8,77.3
11/5/2017,57,274.1,22.3,32.1,78.5
11/5/2017,58,258.3,21.4,26.8,77.1
11/5/2017,59,338.3,19.8,38.3,79
11/5/2017,60,290,21.5,24.5,74.8
11/5/2017,61,209.8,20.8,30.2,83.8
11/5/2017,62,193.4,20.2,33.2,79.7
11/5/2017,63,113.5,23.3,32.1,69.4
11/5/2017,64,354.4,21.4,30,71.5
11/5/2017,65,233,19.4,30.9,71.9
11/5/2017,66,120.1,19,30.3,80
11/5/2017,67,273.3,20.6,34.7,79
11/5/2017,68,203.6,20.2,30.4,76.3
11/5/2017,69,291.2,25.5,30.9,78.2
11/5/2017,70,113.4,21.2,28.8,79.9
11/5/2017,71,113.3,19.9,34.4,78.3
11/5/2017,72,143.3,19.2,33,81.1
11/5/2017,73,225.5,19.3,28.9,79
11/5/2017,74,220.2,19.7,29,68.8
11/5/2017,75,243.1,25.2,31,70.2
11/5/2017,76,326.2,20.5,33,77.5
11/5/2017,77,181.9,20,29.3,80
11/5/2017,78,279.5,19.4,33,76
11/5/2017,79,279.2,19.7,36.7,76.7
11/5/2017,80,279,22.1,23.3,80.9
11/5/2017,81,279.2,23.5,33,83
11/5/2017,82,279.2,21.1,31,77.2
11/5/2017,83,279.2,20.3,31,74.1
11/5/2017,84,279.1,20.5,33.1,76.6
11/5/2017,85,278.3,19,30.7,70.9
11/5/2017,86,163.6,24,31,74
11/5/2017,87,322.2,19.9,33,80.4
11/5/2017,88,353.7,19.2,33,81.1
11/5/2017,89,284.3,20.5,32.7,78.9
11/5/2017,90,353.7,20.8,29.1,77.5
